Judul_Artikel,Tanggal Publish,Content_Artikel,Category
Piala Dunia U17 2023: Bintang Muda Inggris Lebih Percaya Diri Main di JIS,"18/11/2023, 07:44 WIB","KOMPAS.com - Bintang muda timnas U17 Inggris, Ethan Nwaneri, mengaku lebih percaya diri saat melakoni laga Piala Dunia U17 2023 di Jakarta International Stadium alias JIS. Inggris menutup babak penyisihan grup Piala Dunia U17 2023 dengan kekalahan dari Brasil pada matchday pamungkas Grup C. Bertanding di Jakarta International Stadium pada Jumat (17/11/2023), Inggris menyerah dari Brasil dengan skor 1-2. Dua gol Brasil dicetak oleh Kaua Elias pada menit ke-43 dan 54. Satu gol Inggris dibukukan oleh Joel Ndala via tendangan penalti menit ke-71. Baca juga: Hasil Inggris Vs Brasil 1-2, The Young Lions Kalah, Tetap Juara Grup C Meski kalah, Inggris tetap lolos ke babak 16 besar sebagai juara Grup C dengan nilai enam. Inggris didampingi oleh Brasil yang menjadi runner-up dengan nilai sama. Sementara itu, Iran (juga 6 poin) yang menempati peringkat tiga masih harus bersaing lewat jalur peringkat tiga terbaik. Usai laga kontra Brasil, Ethan Nwaneri yang masuk pada babak kedua mengatakan bahwa bermain di JIS memberikan dia rasa percaya diri. ""Saya merasa percaya diri bermain di stadion ini (JIS) dan merasakan atmosfer dukungan dari para suporter,"" kata Nwaneri dikutip dari Antara. Baca juga: Klasemen Piala Dunia U17 2023: Inggris-Brasil Lolos, Indonesia Terancam Gugur Soal hasil yang diraih Inggris di fase grup, pemain muda milik Arsenal itu mengaku puas dengan status pemuncak grup. ""Saya senang dengan berada di puncak klasemen. Kami akan fokus untuk babak selanjutnya. Mungkin besok istirahat dulu,"" tutur gelandang berusia 16 tahun tersebut. Inggris menjadi salah satu dari 10 tim yang telah mengamankan tiket ke babak 16 besar Piala Dunia U17 2023. Pada babak 16 besar, Inggris akan melawan salah satu tim peringkat tiga terbaik.",Sports
"Jadwal Timnas Indonesia di Kualifikasi Piala Dunia 2026 Usai Kalah Telak dari Irak, Lawan Filipina","18/11/2023, 07:05 WIB","KOMPAS.com - Timnas Indonesia mengawali kiprah pada putaran kedua Kualifikasi Piala Dunia 2026 Zona Asia dengan kekalahan telak dari Irak. Selanjutnya, skuad Garuda bakal bertandang ke Filipina. Hasil buruk diraih timnas Indonesia ketika melawan tuang rumah Irak pada matchday pertama Grup F putaran kedua Kualifikasi Piala Dunia 2026 Zona Asia, Kamis (16/11/2023). Bertanding di Basra International Stadium, Basra, timnas Indonesia dilibas Irak dengan skor telak 1-5. Baca juga: Hasil Kualifikasi Piala Dunia 2026 Zona Asia: Indonesia Tumbang, Malaysia Menang Dramatis Bashar Resan membuka keunggulan Irak lewat golnya pada menit ke-20. Lima belas menit berselang, Singa Mesopotamia menggandakan keunggulan lewat gol bunuh diri bek Indonesia, Jordi Amat. Shayne Pattynama sempat memperkecil ketertinggalan Garuda berkat golnya pada masa injury time, tepatnya menit ke-45+3. Akan tetapi, Irak bisa menambah tiga gol pada babak kedua masing-masing melalui aksi Osama Rashid (60'), Youssef Amyn (81'), Ali Al Hamadi (88'). Usai kalah telak dari Irak, selanjutnya timnas Indonesia besutan Shin Tae-yong bakal melawan Filipina di Manila. Laga Filipina vs Indonesia tersebut akan digelar di Rizal Memorial Stadium pada Selasa (21/11/2023) pukul 18.00 WIB. Adapun pada matchday pertama, Filipina kalah 0-2 ketika menjamu Vietnam. Baca juga: Irak Vs Timnas Indonesia, Shayne Yakin Garuda Belajar dari Kekalahan Setelah merampungkan matchday pertama, Irak kini memimpin klasemen Grup F dengan nilai tiga, unggul selisih gol atas Vietnam yang menempati peringkat dua. Di bawah Vietnam secara berurutan ada Filipina lalu Indonesia yang terbenam di dasar klasemen. Berikut hasil matchday pertama, klasemen, dan jadwal Grup F Kualifikasi Piala Dunia 2026 Zona Asia selanjutnya. Kamis (16/11/2023) Baca juga: Timnas Indonesia Kalah Telak dari Irak, Saat Rencana STY Tak Berjalan Mulus Selasa (21/11/2023)",Sports
Pujian untuk Kiper 15 Tahun Kaledonia Baru: Bikin 35 Save meski Timnya Kebobolan 24 Gol,"18/11/2023, 06:39 WIB","KOMPAS.com - Kiper belia Kaledonia Baru, Nicolas Kutran, mendapat apresiasi tinggi meski timnya kebobolan 24 gol dalam tiga laga Piala Dunia U17 2023. Kaledonia Baru menjadi lumbung gol pada babak penyisihan Piala Dunia U17 2023 Indonesia. Dari tiga laga fase grup, wakil Oseania itu selalu kalah dan kemasukan 24 gol. Terkini, Kaledonia Baru dilibas Iran 0-5 pada pertandingan terakhir Grup C di Stadion Si Jalak Harupat, Jumat (17/11/2023). Sebelumnya, Kaledonia Baru dihajar Inggris 0-10 pada laga pertama lalu digulung Brasil 0-9 pada matchday kedua. Tiga kekalahan telak itu membuat Kaledonia Baru finis terbawah di klasemen akhir Grup C. Baca juga: Setelah Jadi Lumbung 19 Gol, Kaledonia Baru Janji Belajar Pada tiga pertandingan fase grup Piala Dunia U17 2023, gawang Kaledonia Baru selalu dikawal oleh kiper berusia 15 tahun, Nicolas Kutran. Dengan lawan-lawan kuat di Grup C, Kutran pun harus terima gawangnya jebol 24 kali dalam tiga pertandingan. Catatan 24 kali kemasukan gol itu membuat Kaledonia Baru menjadi tim dengan rapor terburuk di Piala Dunia U17 2023. Meski timnya menjadi lumbung gol lawan, performa Nicolas Kutran di bawah mistar gawang Kaledonia Baru tetap mendapat apresiasi. Sebab, dalam tiga pertandingan tersebut, kiper belia milik Girondins Bordeaux itu sanggup melakukan 35 save alias penyelamatan. Baca juga: Getir Kaledonia Baru di Piala Dunia U17: Terima 119 Tembakan, Kebobolan 19 Kali Akun Bleacher Report Football pun mengucapkan terima kasih kepada Kutran. ""Tim kecil Kaledonia Baru tersingkir dari Piala Dunia U17 setelah kebobolan 24 gol dalam tiga pertandingan. Ucapan terima kasih kepada kiper berusia 15 tahun, Nicolas Kutran, yang melakukan 35 penyelamatan,"" tulis Bleacher Report di X. Tiny New Caledonia bow out of the U-17 World Cup after conceding 24 goals in their three games. Shoutout to 15-year-old keeper Nicolas Kutran who made 35 saves ???? pic.twitter.com/BDB3MXeclY Sementara itu, Federasi Sepak Bola Kaledonia Baru (FCF) menyebut Kutran telah menampilkan performa level tinggi selama mengawal gawangnya di Piala Dunia U17 2023. ""Tim Kaledonia Baru U17 kebobolan lima gol pada laga Jumat malam, termasuk dua di babak tambahan."" ""Tim akan bergerak maju melawan Iran, tetapi tidak mampu mengatasi kesalahan defensif. Tim menunjukkan konsistensi yang baik di belakang dengan penampilan tinggi tinggi dari kiper Nicolas Kutran,"" demikian tulis FCF. Adapun turnamen kali ini merupakan partisipasi kedua Kaledonia Baru pada Piala Dunia FIFA U17. Sebelumnya, mereka lolos ke putaran final Piala Dunia U17 2017 di India dengan hasil terhenti di babak penyisihan grup.",Sports
"Hasil Inggris Vs Malta 2-0, Gol Bunuh Diri dan Aksi Harry Kane Menangkan Tiga Singa","18/11/2023, 04:43 WIB","KOMPAS.com - Timnas Inggris berhasil mengalahkan Malta dalam lanjutan Kualifikasi Euro 2024. Gol bunuh diri Enrico Pepe dan aksi Harry Kane menjadi penentu kemenangan tim Tiga Singa. Inggris menjamu Malta pada matchday kesembilan Grup C Kualifikasi Euro 2024. Laga Inggris vs Malta tersebut digelar di Stadion Wembley, London, pada Sabtu (18/11/2023) dini hari WIB. Adapun Inggris menjadi salah satu tim yang telah memastikan diri lolos ke putaran final Euro 2024. Tim Tiga Singa mengamankan tiket ke Euro 2024 setelah melibas Italia 3-1 pada matchday kedelapan, Oktober lalu. Baca juga: Daftar Negara Lolos ke Euro 2024: Inggris Terbaru, 9 Tim Siap Tampil di Jerman Timnas Inggris bisa menciptakan keunggulan ketika babak pertama berjalan delapan menit. Pemain belakang Malta, Enrico Pepe, salah mengantisipasi umpan Phil Foden sehingga bola menjebol gawang sendiri. Setelah gol bunuh diri Enrico Pepe, Inggris terus tampil dominan. Di lain sisi, Malta kerap memanfaatkan serangan balik cepat melalui kombinasi dua striker mereka, Paul Mbong dan Kemar Reid. Meski bermain lebih dominan, Inggris tampak kesulitan membongkar pertahanan Malta. Pasukan Gareth Southgate bahkan tercatat tak bisa melepaskan tembakan tepat sasaran meski penguasaan bola mereka mencapai 73 persen. Skor 1-0 untuk keunggulan Inggris pun bertahan hingga turun minum. Baca juga: Hasil Kualifikasi Euro 2024: Sinar Ronaldo Saat Portugal Pesta, Belanda Menang Dramatis Memasuki babak kedua, Southgate coba menambah agresivitas timnya dengan memasukkan Kyle Walker dan Bukayo Saka. Keputusan Southgate memasukkan Saka menggantikan Fikayo Tomori terbukti merupakan pilihan tepat. Pada menit ke-75, pemain sayap Arsenal itu memberikan assist untuk gol kedua Inggris yang dicetak Harry Kane. Itu adalah gol ke-15 Kane dalam delapan penampilan terakhir bersama klub dan timnas.",Sports
"Klasemen Piala Dunia U17 2023 Grup A Usai Indonesia Kalah dari Maroko, Peluang Garuda Berat","16/11/2023, 21:37 WIB","KOMPAS.com - Timnas U17 Indonesia kalah dari Maroko pada partai pamungkas fase grup Piala Dunia U17 2023. Kekalahan itu membuat peluang Garuda untuk lolos ke babak 16 besar sangat berat. Timnas U17 Indonesia besutan Bima Sakti harus mengakui keunggulan Maroko pada matchday terakhir Grup A Piala Dunia U17 2023. Bertanding di Stadion Gelora Bung Tomo, Surabaya, pada Kamis (16/11/2023) malam WIB, Indonesia kalah 1-3 dari Maroko. Baca juga: Hasil Indonesia Vs Maroko: Diwarnai Gol Free Kick Cantik Nabil, Garuda Kalah 1-3 Maroko membukuka keunggulan pada menit ke-29 melalui sepakan penalti Anas Alaoui. Pasukan Singa Atlas lantas menggandakan skor lewat sundulan pemain belakang, Ayoub Ait Boudlal pada menit ke-39. Sebelum jeda, tepatnya menit ke-42, Indonesia sempat memperkecil ketertinggalan berkat gol tendangan bebas akurat Nabil Asyura. Namun, Maroko bisa mengunci kemenangan atas Indonesia via gol Mohamed Hamony pada menit ke-64. Sementara itu pada pertandingan lain di Grup A, Ekuador bermain imbang 1-1 dengan Panama. Gol Ekuador lewat aksi Elkin Ruiz pada menit ke-24 bisa dibalas oleh gelandang Panama, Oldemar Castillo, menit ke-79. Baca juga: Daftar Tim Lolos 16 Besar Piala Dunia U17, Maroko Melaju Usai Bekuk Indonesia Hasil tersebut membuat Ekuador mendampingi Maroko lolos ke babak 16 besar. Maroko lolos sebagai juara Grup A dengan nilai enam, sedangkan Ekuador yang mengoleksi nilai lima tampil sebagai runner-up. Adapun, Indonesia yang mengumpulkan nilai dua terpaku di peringkat ketiga. Tim Garuda sebenarnya masih memiliki peluang lolos ke babak 16 besar melalui jalur peringkat tiga terbaik. Namun, peluang itu sangat berat karena Garuda harus bersaing dengan tim-tim kuat lain di klasemen peringkat tiga terbaik. Baca juga: Hasil Piala Dunia U17 Uzbekistan Vs Spanyol 2-2, La Rojita Juara Grup B  Saat ini, Indonesia berada di peringkat empat klasemen peringkat tiga terbaik. Namun, para pesaing Indonesia yakni Iran, Jepang, Meksiko, dan Korea Selatan belum memainkan pertandingan ketiga. Sementara itu, Iran yang sudah merampungkan tiga laga fase grup kini memimpin klasemen peringkat tiga terbaik dengan nilai empat. Adapun dari klasemen peringkat tiga terbaik diambil empat tim teratas lolos ke babak 16 besar. Berikut hasil dan klasemen Piala Dunia U17 2023 Grup A serta peringkat tiga terbaik. Kamis (16/11/2023)",Sports
Piala Dunia U17 2023: Tiada Matchday Tanpa VAR di Stadion Manahan...,"16/11/2023, 17:31 WIB","KOMPAS.com - Pada setiap matchday Piala Dunia U17 2023 di Stadion Manahan selalu ada tinjauan Video Assistant Referee (VAR). Terkini, VAR digunakan untuk memastikan gol kedua Uzbekistan ke gawang Spanyol. Untuk kali pertama VAR digunakan di Indonesia ketika Mali menang 3-0 atas Uzbekistan pada matchday pertama Grup B Piala Dunia U17 2023, Jumat (10/11/2023). Penggunaan VAR pertama itu terjadi pada menit ke-68 ketika wasit Gustavo Tejera asal Uruguay butuh tayangan momen pelanggaran pemain Uzbekistan, Bekhruz Jumatov, terhadap pemain Mali, Ibrahim Konate. Hal itu menjadi momen bersejarah karena untuk kali pertama VAR digunakan di Indonesia. Baca juga: Hasil Piala Dunia U17 2023: Disaksikan Gibran, Kali Pertama Gunakan VAR, Mali Libas Uzbekistan 3-0 Drama VAR kembali terjadi di Stadion Manahan pada matchday kedua, saat Mali menghadapi Spanyol. Pada menit ke-31, Mali sebenarnya bisa mencetak gol melalui aksi pemain nomor 10, Ange Martial Tia. Ange Martial Tia menuntaskan sebuah umpan cutback dari sayap kiri Mali dengan sepakan mendatar yang tak bisa diantisipasi kiper Spanyol, Raul Jimenez. Akan tetapi, beberapa saat kemudian wasit Bryan Lopez asal Guatemala memeriksa VAR. Baca juga: Piala Dunia U17 2023: Drama VAR, Wasit Thoriq Alkatiri Diprotes Pelatih Mali Sang pengadil meninjau tayangan VAR untuk memastikan insiden sebelum terjadinya gol Mali. Keputusan akhir, gol Ange Tia dianulir karena ada pelanggaran yang dilakukan Sekou Kone kepada Pau Prim saat Mali membangun serangan yang berujung gol. Teraktual, drama VAR di Stadion Manahan tersaji pada matchday ketiga saat Uzbekistan melawan Spanyol. Pada menit ke-54, Amirbek Saidov berhasil mencetak gol kedua Uzbekistan yang membuat laga menjadi imbang 2-2. Baca juga: Momen Respek Piala Dunia U17 2023: Kiper Blunder, Rekan Datang Memeluk Gol Saidov tersebut sempat dinyatakan tidak sah karena hakim garis mengangkat bendera tanda offside ketika ia menerima umpan terobosan Ollabergan Karimov. Akan tetapi, gol balasan Saidov tersebut akhirnya disahkan setelah wasit Augusto Aragon asal Ekuador memeriksa tayangan VAR. Wasit VAR John Perdomo asal Kolombia melalui dalam penjelasannya yang disiarkan melalui pengeras mengatakan bahwa tidak ada offside dalam proses gol Amirbek Saidov.",Sports
"Momen Respek Piala Dunia U17 2023: Kiper Blunder, Rekan Datang Memeluk","16/11/2023, 17:08 WIB","KOMPAS.com - Momen respek dan saling dukung ditunjukkan para pemain Spanyol dalam laga Piala Dunia U17 2023. Sang kapten Jon Martin menghampiri dan memeluk kiper Raul Jimenez usai melakukan blunder yang membuat gawang La Rojita kebobolan. Spanyol yang sudah memastikan lolos ke babak 16 besar melawan Uzbekistan pada matchday terakhir Grup B Piala Dunia U17 2023. Laga Uzbekistan vs Spanyol tersebut digelar di Stadion Manahan, Solo, pada Kamis (16/11/2023) sore WIB. Baca juga: Piala Dunia U17 2023: Reaksi Spanyol Usai Jadi Tim Pertama Lolos 16 Besar Spanyol mampu unggul dalam waktu 19 menit lewat aksi gelandang Igor Oyono dan penyerang Roberto Martin. Igor Oyono membuka keunggulan La Rojita pada menit ke-10. Sembilan menit berselang, giliran Roberto Martin yang mencatatkan namanya ke papan skor. Menjelang turun minum, tepatnya pada menit ke-45+4, Uzbekistan bisa mencetak gol balasan. Gol Uzbekistan berawal dari blunder kiper Spanyol, Raul Jimenez. Raul coba menguasai bola backpass Andres Cuenca yang mendapat tekanan lawan di sisi kiri pertahanan Spanyol. Baca juga: Daftar Tim Lolos 16 Besar Piala Dunia U17 2023: Terbaru Jerman-Perancis, Indonesia Berpeluang Raul tampak ingin menguasai bola, tetapi Amirbek Saidov bisa merebutnya dengan melakukan sliding tackle. Bola lantas bergulir ke depan gawang. Raul terlihat ragu untuk menangkapnya sebab Jon Martin juga berupaya mengejar bola. Akan tetapi, lankah Jon Martin kalah dari pemain Uzbekistan, Behruz Shukurullayev. Sambil meluncur, Shukurullayev bisa mendorong bola masuk ke gawang Spanyol. Berdasarkan pentauan Kompas.com di lapangan, Raul Jimenez tampak terpukul dengan blundernya yang membuat gawang La Rojita kebobolan. Bek sekaligus kapten Spanyol dalam laga kali ini, Jon Martin, kemudian menghampiri Raul dan memeluknya. Diwarnai blunder sang kiper, Spanyol menutup babak pertama dengan keunggulan 2-1 atas Uzbekistan. Baca juga: Merchandise Piala Dunia U17 2023: Per Hari Laku 100 Barang, Jacksen Tiago Habiskan Jutaan Rupiah",Sports
"Piala Dunia U17 2023: Laga Penentuan Grup A, Pelatih Ekuador Berharap Indonesia Lolos","16/11/2023, 17:00 WIB","KOMPAS.com - Empat tim penghuni Grup A Piala Dunia U17 2023 akan melakoni laga penentuan pada hari ini. Pelatih Ekuador, Diego Martinez, berharap Indonesia bisa lolos ke babak 16 besar. Grup A Piala Dunia U17 2023 bakal menyajikan dua pertandingan pamungkas pada hari ini, Kamis (16/11/2023). Ekuador akan menghadapi Panama di Stadion Manahan, Solo, pada pukul 16.00 WIB. Sementara itu pada laga lainnya, Indonesia bakal melawan Maroko di Stadion Gelora Bung Tomo, Surabaya, juga pada pukul 16.00 WIB. Baca juga: Skenario Timnas Indonesia ke 16 Besar Piala Dunia U17, Wajib Menang Vs Maroko Ekuador saat ini memuncaki klasemen Grup A dengan nilai empat angka hasil dari sekali menang dan sekali kalah. Di bawah Ekuador ada Maroko yang mengumpulkan nilai tiga, sedangkan Indonesia yang mendulang dua poin berada di peringkat tiga. Adapun Panama yang cuma memperoleh satu poin dari dua pertandingan terbenam di dasar klasemen. Ekuador berada di atas angin karena ""cuma"" melawan Panama pada matchday pamungkas. Kemenangan atas Panama akan membuat anak asuh Diego Martinez mengunci posisi puncak sekaligus lolos ke babak 16 besar. Baca juga: Indonesia Vs Maroko, Dukungan dari Musuh untuk Garuda Muda Pada laga lainnya, Indonesia dan Maroko bakal saling sikut untuk memperebutkan tiket ke fase gugur. Indonesia selaku tuan rumah wajib menang untuk mengamankan tiket ke babak 16 besar Piala Dunia U17 2023. Diego Martinez pun mengaku tak mau memikirkan laga Indonesia vs Maroko. Ia memilih fokus pada pertandingan yang akan dihadapi timnya. ""Saya tidak bisa berpikir soal babak berikutnya, tetapi saya fokus pada laga melawan Panama,"" kata Martinez sebelum memimpin latihan timnas U17 Ekuador di Stadion Sriwedari, Rabu (15/11/2023). Baca juga: Indonesia Vs Maroko: Saran untuk Garuda, Tiru Filosofi Mourinho Saat Juara Liga Champions Akan tetapi, jika boleh memilih, Martinez berharap Indonesia bisa melaju ke babak berikutnya. ""Saya tidak tahu, tetapi saya harap mungkin Indonesia. Ini adalah negara yang indah. Kami telah disambut secara baik dan mereka juga tim yang sangat bagus,"" ucap Diego Martinez. Soal laga melawan Panama, Martinez menegaskan bahwa ia meminta anak asuhnya untuk tetap bermain menyerang. ""Panama adalah tim yang sangat bagus. Kami akan mencoba tampil agresif. Kami butuh tiga poin, begitu juga mereka. Kami mempersiapkan diri untuk mendapatkan tiga poin,"" kata Diego Martinez.",Sports
"Merchandise Piala Dunia U17 2023: Per Hari Laku 100 Barang, Jacksen Tiago Habiskan Jutaan Rupiah","16/11/2023, 16:44 WIB","KOMPAS.com - Merchandise atau pernak-pernik menjadi buruan penonton selama penyelenggaraan Piala Dunia U17 2023. Di Solo, rata-rata penjualan merchandise per harinya bisa mencapai 100 barang. Salah satu titik di Stadion Manahan, Solo, yang ramai dikunjungi penonton selama Piala Dunia U17 2023 adalah booth penjualan merchandise resmi turnamen. PIC official fan shop FIFA di Stadion Manahan, Eko Budianto, menyampaikan bahwa antusiasme penonton untuk membeli merchandise Piala Dunia U17 2023 cukup tinggi. Menurut Eko, rata-rata penjualan merchandise pada hari pertandingan bisa mencapai 100 barang. Baca juga: Merchandise Resmi Piala Dunia U17: Dibuat di Indonesia, Libatkan UMKM ""Antusiasme (pembeli) cukup tinggi. Secara kuantiti, rata-rata laku 100 item. Mix ada jaket, t-shirt, stiker, boneka, topi. Terutama jaket yang warna hitam cukup laris,"" kata Eko yang ditemui Kompas.com menjelang laga Uzbekistan vs Spanyol, Kamis (16/11/2023) sore WIB. Lebih lanjut, Eko mengungkapkan bahwa pembeli tidak hanya datang dari masyarakat lokal, tetapi juga fan dari luar yang timnya bermain di Manahan. Salah satu pengunjung yang sempat ditemui Kompas.com sedang berbelanja di booth merchandise adalah mantan pelatih Persipura Jayapura, Jacksen F Tiago. Eko mengatakan, Jacksen berbelanja merchandise Piala Dunia U17 2023 mencapai Rp 4.000.000. Baca juga: Cerita Relawan Piala Dunia U17: Dulu Saksi Emas Greysia/Apri di Tokyo, Kini Bagian Sejarah Indonesia Hal serupa dilakukan oleh salah seorang fan asal Panama yang menghabiskan jutaan rupiah untuk membeli kenang-kenangan turnamen FIFA pertama di Indonesia tersebut. ""Coach Jacksen kemarin kurang lebih Rp 4 juta. Barusan juga ada orang Panama sekitar 4 hampir 5 juta. Tadi dia belanja 4 juta sekian, beli lagi 600 ribu,"" tutur Eko.  Selain menggelar laga-laga babak penyisihan, Solo juga akan menjadi tuan rumah untuk pertandingan fase gugur termasuk final. Eko berharap, antusiasme pembeli akan meningkat saat fase gugur nanti. ""Dari awal (penjualan) cukup bagus, apalagi nanti kalau sampai fase gugur, perempat final, dan final,"" ucap Eko mengakhiri. Baca juga: Cerita Jurnalis Mali di Piala Dunia U17: Dari Bamako ke Solo, dari Frederic Kanoute hingga Makan Konate",Sports
"Irak Vs Indonesia, Pelatih Lawan Soroti Pemain Label Eropa Milik Garuda","16/11/2023, 16:00 WIB","KOMPAS.com - Pelatih timnas Irak, Jesus Casas, menyoroti para pemain ""label Eropa"" di skuad timnas Indonesia menjelang pertemuan kedua tim pada lanjutan Kualifikasi Piala Dunia 2026 Zona Asia. Timnas Indonesia akan bertandang ke Irak untuk melakoni matchday pertama Grup F Kualifikasi Piala Dunia 2026 Zona Asia putaran kedua. Laga Irak vs Timnas Indonesia tersebut bakal digelar di Basra International Stadium, Basra, pada Kamis (16/11/2023) pukul 21.45 WIB. Baca juga: Jadwal Timnas Indonesia Vs Irak di Kualifikasi Piala Dunia 2026 Malam Ini Menjelang laga melawan Indonesia, Jesus Casas selaku Irak menyoroti keberadaan pemain-pemain berlabel Eropa di skuad Garuda. Diketahui, Indonesia memang memiliki sejumlah pemain yang merumput di Eropa, semisal Elkan Baggott (Ipswich Town/Inggris) dan Rafael Struick (ADO Den Haag/Belanda). ""Irak dan Indonesia punya karakteristik yang sama. Yang paling menonjol dari Indonesia adalah mereka memiliki pemain-pemain yang bermain di Eropa, dan performa mereka meningkat akhir-akhir ini,"" kata Jesus Casas dikutip dari Winwin.com. Baca juga: Rekor Pertemuan Timnas Indonesia Vs Irak, Garuda Pernah Menang 3-0 Soal pertandingan melawan timnas Indonesia, pelatih asal Spanyol menegaskan bahwa timnya siap bekerja keras meraih hasil terbaik. ""Saya tidak menjanjikan apa pun, karena (pertandingan) bukan hanya tentang saya."" ""Kami hanya bisa menjanjikan kerja keras. Kami berlatih sampai malam hari untuk mencapai tujuan kami,"" ujar Jesus Casas. Sebagai informasi, Indonesia melaju ke putaran kedua Kualifikasi Piala Dunia 2026 Zona Asia setelah menyingkirkan Brunei Darussalam dengan agregat 12-0. Baca juga: Irak Vs Indonesia, Kualitas Lawan di Atas, Garuda Tak Ambil Pusing Pada dua pertemuan di Jakarta dan Bandar Seri Begawan, armada Shin Tae-yong berhasil membukukan dua kemenangan dengan skor identik 6-0. Sementara itu, Irak langsung lolos ke putaran kedua Kualifikasi Piala Dunia 2026 Zona Asia. Selain Indonesia dan Irak, dua tim lain yang menghuni Grup F adalah Vietnam serta Filipina. Pada laga lainnya, Filipina akan menjamu Vietnam di Rizal Memorial Stadium, Manila, pada hari ini pukul 18.00 WIB.",Sports
"Indonesia Vs Maroko: Saran untuk Garuda, Tiru Filosofi Mourinho Saat Juara Liga Champions","16/11/2023, 14:46 WIB","KOMPAS.com - Hanafing meminta timnas U17 Indonesia meniru filosofi Jose Mourinho ketika melawan Maroko pada partai penentuan Piala Dunia U17 2023. Timnas U17 Indonesia besutan Bima Sakti akan menghadapi Maroko pada matchday pamungkas Grup A Piala Dunia U17 2023. Laga Indonesia vs Maroko tersebut bakal digelar di Stadion Gelora Bung Tomo, Surabaya, pada Kamis (16/11/2023) pukul 19.00 WIB. Baca juga: Jadwal Indonesia Vs Maroko di Piala Dunia U17, Kans Garuda Ukir Sejarah Indonesia saat ini menempati peringkat ketiga klasemen Grup A dengan nilai dua, berjarak satu poin dari Maroko yang menghuni peringkat kedua. Adapun posisi puncak ditempati oleh Ekuador yang mengoleksi nilai empat, sedangkan Panama yang baru mengumpulkan dua poin dari dua laga terdampar di dasar klasemen. Secara matematis, Ekuador yang akan menghadapi Panama pada matchday terakhir Grup A berada di atas angin. Melawan tim terlemah di Grup A, Ekuador punya kans besar menang dan lolos ke babak 16 besar sebagai juara grup. Sementara itu, Indonesia harus melakoni laga hidup mati melawan Maroko. Baca juga: Skenario Timnas Indonesia ke 16 Besar Piala Dunia U17, Wajib Menang Vs Maroko Skuad Garuda wajib menang jika ingin lolos ke babak 16 besar Piala Dunia U17 2023. Anak asuh Bima Sakti sebenarnya juga punya peluang lolos lewat jalur peringkat tiga terbaik. Namun, jika melalui jalur tersebut, Arkhan Kaka dkk masih harus menunggu hasil tim-tim lain. Mantan pemain timnas Indonesia, Hanafing berharap Garuda Muda bisa meraih hasil maksimal lawan Maroko dan lolos ke fase gugur. ""Sebagai mantan pemain nasional dan masyarakat Indonesia yang pernah mengibarkan bendera Indonesia di level internasional, tentu sangat bangga kalau tim kita bisa meraih prestasi,"" kata Hanafing dalam konferensi pers di Hotel Solia Zigna Kampung Batik, Solo, pada Kamis (16/11/2023) siang WIB. Namun, anggota timnas Indonesia saat meraih medali emas SEA Games 1991 itu menyadari bahwa Maroko adalah lawan yang kuat. Di mata Hanafing, secara permainan Indonesia masih di bawah tim asal Afrika tersebut.",Sports
